City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,78.91,clear sky,-9.8,-139.0333,Villa Enata
1,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
2,Soyo,AO,77.2,overcast clouds,-6.1349,12.3689,Hotel Mpampa
4,General Pico,AR,73.81,light rain,-35.6566,-63.7568,Euskadi Hotel
6,Bundaberg,AU,84.22,broken clouds,-24.85,152.35,Takalvan Motel
7,Labuhan,ID,81.81,broken clouds,-6.8844,112.2051,DoubleFAG
9,Baripada,IN,69.15,clear sky,21.935,86.7214,Aparna Hotel
12,Inhambane,MZ,76.17,clear sky,-23.865,35.3833,Oceano
15,Kavieng,PG,82.87,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
16,Fuerte Olimpo,PY,78.03,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
17,Port Blair,IN,77.41,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
21,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
22,Whyalla,AU,67.89,clear sky,-33.0333,137.5833,Foreshore Motor Inn
24,Port Lincoln,AU,67.06,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
25,Hobart,AU,71.02,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
29,Rikitea,PF,77.97,overcast clouds,-23.1203,-134.9692,People ThankYou
30,Isangel,VU,84.31,heavy intensity rain,-19.55,169.2667,Tanna Lodge
34,Pakxe,LA,71.74,broken clouds,15.1167,105.7833,Champasak Palace Hotel
39,Faanui,PF,81.23,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
40,Bowen,AU,79.02,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
43,Sao Filipe,CV,73.02,clear sky,14.8961,-24.4956,Hotel Xaguate
44,Rio Grande,BR,77.05,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
45,Yulara,AU,76.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
47,East London,ZA,69.39,light rain,-33.0153,27.9116,Tu Casa
48,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
49,Tucurui,BR,73.67,moderate rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
54,Butaritari,KI,82.24,few clouds,3.0707,172.7902,Isles Sunset Lodge
57,Itarema,BR,78.49,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
58,Puerto Cabezas,NI,75.51,clear sky,14.0351,-83.3888,Cabaña Caribe
62,Tubuala,PA,78.57,few clouds,9.5167,-79.0333,Río Nabagana
63,Dingle,PH,81.09,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
65,Caravelas,BR,76.71,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
76,Pombas,CV,67.78,few clouds,17.1503,-25.0201,Paul Paradis
78,Marsh Harbour,BS,73.2,clear sky,26.5412,-77.0636,Abaco Beach Resort
80,Meulaboh,ID,78.48,broken clouds,4.1363,96.1285,Kost Pria
82,Port Elizabeth,ZA,67.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
84,Mount Isa,AU,83.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
91,Pantao,PH,82.78,moderate rain,13.1944,123.3271,Bantigue Beach
93,Castro,BR,65.12,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
98,Inongo,CD,71.98,overcast clouds,-1.95,18.2667,Hotel Du Lac
99,Jaltenango,MX,67.53,clear sky,15.8719,-92.7247,Finca Jaltenango Hotel Boutique
103,Cidreira,BR,75.87,broken clouds,-30.1811,-50.2056,Hotel Castelo
104,Port Alfred,ZA,69.71,overcast clouds,-33.5906,26.891,The Halyards Hotel
105,Souillac,MU,80.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
107,Matara,LK,74.25,clear sky,5.9485,80.5353,Amaloh Boutique Resort
113,Mutis,CO,77.97,overcast clouds,6.2262,-77.4044,Paraiso Escondido
117,Hilo,US,76.73,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
122,Camocim,BR,77.32,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
125,Iracoubo,GF,76.3,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
130,Salalah,OM,71.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
131,New Norfolk,AU,69.91,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
132,Sao Joao Da Barra,BR,73.78,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
138,Esperance,AU,76.84,clear sky,-33.8667,121.9,Hospitality Esperance
142,Hithadhoo,MV,81.61,overcast clouds,-0.6,73.0833,Scoop Guest House
