City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,2022-02-04 01:58:35,-9.8,-139.0333,78.91,72,4,16.35,clear sky
1,Kapaa,US,2022-02-04 01:57:23,22.0752,-159.319,78.78,66,0,1.99,clear sky
2,Soyo,AO,2022-02-04 01:56:43,-6.1349,12.3689,77.2,75,93,3.04,overcast clouds
3,Sylvania,US,2022-02-04 01:59:20,41.7189,-83.713,21.04,89,100,7.0,overcast clouds
4,General Pico,AR,2022-02-04 01:59:20,-35.6566,-63.7568,73.81,61,53,7.99,light rain
5,Bethel,US,2022-02-04 01:59:01,41.3712,-73.414,47.48,98,100,2.62,overcast clouds
6,Bundaberg,AU,2022-02-04 01:59:21,-24.85,152.35,84.22,63,75,3.0,broken clouds
7,Labuhan,ID,2022-02-04 01:59:21,-6.8844,112.2051,81.81,76,80,5.46,broken clouds
8,Vestmannaeyjar,IS,2022-02-04 01:59:22,63.4427,-20.2734,27.37,66,11,35.77,few clouds
9,Baripada,IN,2022-02-04 01:59:22,21.935,86.7214,69.15,81,2,8.41,clear sky
10,West Memphis,US,2022-02-04 01:59:23,35.1465,-90.1845,28.58,93,100,14.45,overcast clouds
11,Hermanus,ZA,2022-02-04 01:57:19,-34.4187,19.2345,60.91,72,100,9.17,overcast clouds
12,Inhambane,MZ,2022-02-04 01:59:23,-23.865,35.3833,76.17,86,2,2.48,clear sky
13,Saldanha,ZA,2022-02-04 01:52:04,-33.0117,17.9442,57.25,81,0,18.86,clear sky
14,North Bend,US,2022-02-04 01:53:34,43.4065,-124.2243,48.92,95,0,8.05,clear sky
15,Kavieng,PG,2022-02-04 01:52:32,-2.5744,150.7967,82.87,73,98,4.99,overcast clouds
16,Fuerte Olimpo,PY,2022-02-04 01:59:24,-21.0415,-57.8738,78.03,81,96,6.76,overcast clouds
17,Port Blair,IN,2022-02-04 01:53:12,11.6667,92.75,77.41,72,12,7.31,few clouds
18,Busselton,AU,2022-02-04 01:52:01,-33.65,115.3333,92.05,35,67,15.57,broken clouds
19,Fallon,US,2022-02-04 01:59:25,39.4735,-118.7774,38.28,44,0,5.21,clear sky
20,Te Anau,NZ,2022-02-04 01:59:26,-45.4167,167.7167,48.25,96,100,2.51,moderate rain
21,Pitimbu,BR,2022-02-04 01:59:26,-7.4706,-34.8086,81.19,76,96,12.62,overcast clouds
22,Whyalla,AU,2022-02-04 01:59:26,-33.0333,137.5833,67.89,52,0,11.5,clear sky
23,Lufilufi,WS,2022-02-04 01:59:27,-13.8745,-171.5986,89.38,77,100,12.12,light rain
24,Port Lincoln,AU,2022-02-04 01:48:27,-34.7333,135.8667,67.06,60,44,15.73,scattered clouds
25,Hobart,AU,2022-02-04 01:52:15,-42.8794,147.3294,71.02,47,9,1.01,clear sky
26,Nerchinskiy Zavod,RU,2022-02-04 01:53:12,51.3088,119.61,-12.05,88,50,2.13,scattered clouds
27,Cape Town,ZA,2022-02-04 01:52:02,-33.9258,18.4232,62.28,64,20,4.0,few clouds
28,Kandrian,PG,2022-02-04 01:59:28,-6.2167,149.55,85.37,66,91,17.96,overcast clouds
29,Rikitea,PF,2022-02-04 01:55:00,-23.1203,-134.9692,77.97,74,100,18.88,overcast clouds
