City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-02-03 20:23:20,3.0707,172.7902,81.05,76,24,13.53
1,Hobart,AU,2022-02-03 20:20:12,-42.8794,147.3294,48.06,87,20,10.36
2,Petropavlovsk-Kamchatskiy,RU,2022-02-03 20:23:20,53.0452,158.6483,19.99,73,75,4.47
3,Punta Arenas,CL,2022-02-03 20:21:22,-53.15,-70.9167,50.02,53,0,9.22
4,Ceska Trebova,CZ,2022-02-03 20:23:21,49.9044,16.4441,39.92,96,100,8.39
5,Tuktoyaktuk,CA,2022-02-03 20:23:22,69.4541,-133.0374,-16.6,76,75,12.66
6,Great Yarmouth,GB,2022-02-03 20:23:22,52.6083,1.7305,47.95,88,100,14.94
7,Tura,IN,2022-02-03 20:23:22,25.5198,90.2201,60.35,57,84,3.94
8,Albany,US,2022-02-03 20:22:23,42.6001,-73.9662,42.75,94,100,4.34
9,Baruun-Urt,MN,2022-02-03 20:23:23,46.6806,113.2792,-12.78,90,4,5.35
10,Castro,BR,2022-02-03 20:23:23,-24.7911,-50.0119,73.04,85,57,1.86
11,Kapaa,US,2022-02-03 20:23:24,22.0752,-159.319,77.32,66,20,3.0
12,Cockburn Town,TC,2022-02-03 20:23:24,21.4612,-71.1419,74.86,76,52,25.32
13,Avarua,CK,2022-02-03 20:23:25,-21.2078,-159.775,80.65,83,75,17.27
14,Newport,GB,2022-02-03 20:22:40,51.5877,-2.9984,50.63,85,100,17.45
15,Saint-Philippe,RE,2022-02-03 20:23:25,-21.3585,55.7679,80.15,94,100,37.74
16,Lagoa,PT,2022-02-03 20:23:26,39.05,-27.9833,57.52,74,100,14.16
17,Swabi,PK,2022-02-03 20:23:26,34.1199,72.4699,46.96,83,0,1.7
18,Hilo,US,2022-02-03 20:20:47,19.7297,-155.09,75.4,81,49,1.01
19,Georgetown,MY,2022-02-03 20:22:56,5.4112,100.3354,80.53,91,20,2.3
20,Makakilo City,US,2022-02-03 20:19:55,21.3469,-158.0858,77.32,54,0,5.75
21,Jamestown,US,2022-02-03 20:20:45,42.097,-79.2353,31.08,69,100,4.0
22,Ceres,US,2022-02-03 20:23:27,37.5949,-120.9577,58.82,46,0,0.0
23,Busselton,AU,2022-02-03 20:23:28,-33.65,115.3333,79.05,41,48,7.76
24,Harper,LR,2022-02-03 20:23:28,4.375,-7.7169,80.26,79,1,7.23
25,Rapid Valley,US,2022-02-03 20:23:29,44.0625,-103.1463,31.32,46,0,3.0
26,Fomboni,KM,2022-02-03 20:23:29,-12.28,43.7425,83.39,74,100,12.93
27,Ubala,CO,2022-02-03 20:23:30,4.7478,-72.5369,98.17,27,30,11.01
28,Tiksi,RU,2022-02-03 20:23:30,71.6872,128.8694,-10.28,100,100,4.21
29,Miraflores,MX,2022-02-03 20:23:31,19.2167,-98.8083,74.03,25,0,7.72
